"acousticness","artists","danceability","duration_ms","energy","explicit","id","instrumentalness","key","liveness","loudness","mode","name","popularity","release_date","speechiness","tempo","valence","year"
0.928,"['Mark Diamond']",0.45,195758,0.189,0,"3KH5aME71gFcHvReW54ew4",0.000843,8,0.104,-11.423,1,"You're My Girl (Lost Recording #6)",61,"2016-11-11",0.0519,66.945,0.227,2016
0.318,"['Pusha T', 'JAY-Z']",0.558,253787,0.864,1,"1b6rmL3VXBgYTbn61kM8wT",0,11,0.123,-5.1,1,"Drug Dealers Anonymous",58,"2016-06-23",0.43,152.804,0.474,2016
0.0635,"['Drake']",0.623,253533,0.74,1,"4PA16FAl8LPmFmOhARawdV",0,1,0.366,-6.945,1,"Weston Road Flows",59,"2016-05-06",0.307,82.874,0.351,2016
0.0498,"['Chance the Rapper', 'Young Thug', 'Lil Yachty']",0.838,292910,0.43,1,"0WCbhE2evMrIwRM0DlMy9k",1.59e-05,1,0.0977,-5.868,1,"Mixtape (feat. Young Thug & Lil Yachty)",57,"2016-05-27",0.281,126.981,0.126,2016
0.0175,"['Dirty Heads']",0.765,213147,0.657,0,"6WQyaRxqf332knjOMWUMQf",0,11,0.345,-6.394,0,"That's All I Need",56,"2016-07-15",0.0829,91.998,0.553,2016
0.965,"['Novo Amor', 'Ed Tullett']",0.353,194160,0.311,0,"5eG8QuQKOBvDeCyoOeMkhT",0.0315,3,0.204,-10.377,1,"Alps",62,"2016-04-15",0.0321,146.696,0.135,2016
0.048,"['ScHoolboy Q', 'E-40']",0.786,222147,0.569,1,"7pda6TLAbVGxUjIUtbiNt0",0,1,0.119,-5.461,1,"Dope Dealer",58,"2016-07-08",0.125,82.027,0.288,2016
0.158,"['Sinead Harnett', 'GRADES']",0.407,232878,0.403,0,"5LKXxwgll43fxe1lPF7sze",5.98e-06,5,0.553,-8.396,0,"If You Let Me",60,"2016-07-28",0.113,90.907,0.329,2016
0.358,"['Harris Cole']",0.635,206811,0.0861,0,"1LnvvETuCo3vqt1xC9j7J4",0.00995,11,0.138,-18.311,0,"Game over!",60,"2016-08-02",0.0755,130.146,0.0618,2016
0.375,"['Jay Park', 'Hoody', 'Loco']",0.4,216786,0.724,0,"2c37Gkpu75l3kvh1FUZrHV",0,8,0.0927,-6.064,1,"All I Wanna Do (feat. Hoody & <U+B85C><U+AF2C> Loco) [Korean Version]",64,"2016-10-20",0.253,96.782,0.43,2016
